sample_id,region_id,pixel_count,pair_cosine,cluster_with,cluster_no
1b3e964e30c8439ba9ba83d43948a558,0,22246,-0.03344986,1,6
1b3e964e30c8439ba9ba83d43948a558,1,254,-0.01016559,0,6
1b5b3c51ed21471a8940891917b0011e,0,21709,-0.02310887,1,6
1b5b3c51ed21471a8940891917b0011e,1,791,0.01148018,6,6
1bc82ad0d02243e580e628b9ad400fd6,0,22122,-0.04341386,1,6
1bc82ad0d02243e580e628b9ad400fd6,1,378,0.04931144,0,6
1bf0669e9da34c17a25a6362d8a3b3d1,0,22413,-0.01080042,1,6
1bf0669e9da34c17a25a6362d8a3b3d1,1,87,0.01570742,0,6
1c325d227d824b5ab9a4c859279ee0a1,0,21816,-0.04635089,1,6
1c325d227d824b5ab9a4c859279ee0a1,1,684,0.00683542,5,6
1c9469a9d1db45f99f95fbe9c0095087,0,21858,-0.02031828,1,6
1c9469a9d1db45f99f95fbe9c0095087,1,642,0.03386915,5,6
1d477a7c21784a98b2e6a9289a958fe2,0,22046,0.00750709,1,5
1d477a7c21784a98b2e6a9289a958fe2,1,454,-0.05654535,5,5
1d4e275d6ce248788f5c969226df903f,0,21508,-0.02893120,1,6
1d4e275d6ce248788f5c969226df903f,1,992,-0.00279656,6,6
1da9c46177344f4f9ebd3d15d199b785,0,21592,-0.04142660,1,6
1da9c46177344f4f9ebd3d15d199b785,1,908,-0.02423532,0,5
1db65e17354d4873bd22d3186e7dfcdf,0,22242,0.00456708,1,6
1db65e17354d4873bd22d3186e7dfcdf,1,258,0.04452886,0,5
1dbda647eacb4a389651aa07943143ea,0,22063,-0.04966674,1,5
1dbda647eacb4a389651aa07943143ea,1,437,0.05138828,0,5
1dfecb8189f54b999f4e47ddaa677fd0,0,21838,-0.03022614,1,5
1dfecb8189f54b999f4e47ddaa677fd0,1,662,0.05025742,0,5
1dffa2d447444bc89fa5c494f88aaa20,0,21575,-0.03396104,1,6
1dffa2d447444bc89fa5c494f88aaa20,1,925,-0.05389222,7,0
1e61acbc36cc415da7a6907b170109ad,0,21903,-0.03494718,1,6
1e61acbc36cc415da7a6907b170109ad,1,597,0.04367898,5,6
1f0a495a2b76420b9cadbc61723e1d46,0,21976,-0.03295049,1,5
1f0a495a2b76420b9cadbc61723e1d46,1,524,-0.00423682,2,6
1fa5506ca31d4174955140d2138db679,0,21484,-0.02790299,1,6
1fa5506ca31d4174955140d2138db679,1,1016,-0.04013450,5,6
20a68f4f6d5e46edb6c4d9e8321ced5b,0,21866,-0.03467779,1,5
20a68f4f6d5e46edb6c4d9e8321ced5b,1,634,0.01381438,6,6
20a871df4033487ab94d4d3b86f69af1,0,22500,-0.01809281,1,5
20fdb20b4ca148b9bca502ca7c196190,0,22007,-0.03586018,1,6
20fdb20b4ca148b9bca502ca7c196190,1,493,-0.01273777,4,6
211466503dcd4723bc58b9d3717ed3a8,0,21482,-0.00657355,1,5
211466503dcd4723bc58b9d3717ed3a8,1,1018,0.03404972,0,0
2128fc958907421ca888ab014a73348a,0,21085,-0.04335180,1,5
2128fc958907421ca888ab014a73348a,1,1415,-0.00456247,5,6
2140329a6990437aa46b83c30f49cf49,0,22401,-0.03338456,1,5
2140329a6990437aa46b83c30f49cf49,1,99,-0.03078246,7,0
215d8576b8d54ab08623ae6257359e71,0,21681,-0.03015971,1,6
215d8576b8d54ab08623ae6257359e71,1,819,-0.05827867,6,6
21658dc6c2164fe3a13b61d040b7731d,0,21770,-0.02651377,1,6
21658dc6c2164fe3a13b61d040b7731d,1,730,-0.00371332,6,6
219ea9af33d94b7a94e869d6192f018b,0,22077,-0.04484821,1,6
219ea9af33d94b7a94e869d6192f018b,1,423,-0.03814484,4,6
21af4cefe1704215b7adb957b63927c8,0,22086,-0.03392270,1,6
21af4cefe1704215b7adb957b63927c8,1,414,0.02089377,4,5
21e354a1dc9b42498ed1bb4b050bb2d9,0,21648,-0.04123306,1,6
21e354a1dc9b42498ed1bb4b050bb2d9,1,852,0.06122820,0,6
21e50bd8b149409a9791a74acf49a676,0,22305,-0.00400706,1,5
